acc_ID,Species_Name
acc1,GCA.001443365.1
acc2,GCF.000195975.1
acc3,GCA.007116075.1
acc4,GCF.000184705.1
acc5,GCA.002746235.1
acc6,GCA.002778785.1
acc7,GCA.002717465.1
acc8,GCA.002296285.1
acc9,GCF.001458775.1
acc10,GCA.000961655.1
acc11,GCA.003164925.1
acc12,GCA.002695035.1
acc13,GCA.002320815.1
acc14,GCA.002719675.1
acc15,GCA.001595385.3
acc16,GCA.002897675.1
acc17,GCA.002753335.1
acc18,GCA.002448475.1
acc19,GCA.003851245.1
acc20,GCA.002711005.1
acc21,GCA.001914695.1
acc22,GCA.004292595.1
acc23,GCF.000152965.1
acc24,GCA.003228195.2
acc25,GCA.002724635.1
acc26,GCA.002683825.1
acc27,GCF.000092205.1
acc28,GCA.004211905.1
acc29,GCF.000024885.1
acc30,GCA.002420425.1
acc31,GCA.003278095.1
acc32,GCA.003170595.1
acc33,GCA.003056285.1
acc34,GCF.001017655.1
acc35,GCA.002500505.1
acc36,GCF.000196275.1
acc37,GCA.002377645.1
acc38,GCA.002898575.1
acc39,GCF.000392875.1
acc40,GCA.002407045.1
acc41,GCA.002715505.1
acc42,GCA.002500605.1
acc43,GCA.002503845.1
acc44,GCF.003333315.1
acc45,GCA.001771545.1
acc46,GCA.005877075.1
acc47,GCA.002709955.1
acc48,GCA.001189155.1
acc49,GCA.002431715.1
acc50,GCA.003219345.1
acc51,GCA.002690655.1
acc52,GCA.013330055.1
acc53,GCA.001803635.1
acc54,GCF.000423905.1
acc55,GCF.000953715.1
acc56,GCA.002101225.1
acc57,GCF.001660485.1
acc58,GCA.003695005.1
acc59,GCA.004356105.1
acc60,GCF.003285105.1
acc61,GCA.002938255.1
acc62,GCA.002747975.1
acc63,GCA.002483345.1
acc64,GCA.003249035.1
acc65,GCF.000196815.1
acc66,GCF.000744415.1
acc67,GCA.003696625.1
acc68,GCA.003598135.1
acc69,GCA.003229375.1
acc70,GCA.001316325.1
acc71,GCF.000014585.1
acc72,GCA.001829125.1
acc73,GCA.001874005.1
acc74,GCF.000949295.1
acc75,GCF.000378205.1
acc76,GCF.002973605.1
acc77,GCF.900142125.1
acc78,GCA.003248505.1
acc79,GCA.004195025.1
acc80,GCA.002705575.1
acc81,GCF.000504085.1
acc82,GCA.003504275.1
acc83,GCA.003522725.1
acc84,GCA.002411145.1
acc85,GCF.900187115.1
acc86,GCA.001804285.1
acc87,GCA.004212095.1
acc88,GCA.002791545.1
acc89,GCA.002898555.1
acc90,GCA.002495315.1
acc91,GCA.900248165.1
acc92,GCA.002387605.1
acc93,GCA.002329125.1
acc94,GCA.001007665.1
acc95,GCA.003538775.1
acc96,GCA.002753225.1
acc97,GCF.004364935.1
acc98,GCF.000007125.1
acc99,GCA.002863065.1
acc100,GCA.002418265.1
acc101,GCA.001800285.1
acc102,GCA.000531125.1
acc103,GCA.001940665.1
acc104,GCF.002208115.1
acc105,GCA.002082305.1
acc106,GCF.000170875.1
acc107,GCF.000828575.1
acc108,GCA.004524545.1
acc109,GCF.900175965.1
acc110,GCF.000190435.1
acc111,GCA.900319235.1
acc112,GCA.004212075.1
acc113,GCF.000956175.1
acc114,GCA.002307725.1
acc115,GCF.000025885.1
acc116,GCA.002748355.1
acc117,GCA.002348585.1
acc118,GCA.002499195.1
acc119,GCF.000092185.1
acc120,GCA.002393195.1
acc121,GCF.003011885.1
acc122,GCA.001829185.1
acc123,GCA.003649495.1
acc124,GCF.003665155.1
acc125,GCA.002389385.1
acc126,GCA.004299485.1
acc127,GCA.002499525.1
acc128,GCA.002726945.1
acc129,GCA.003645805.1
acc130,GCF.000332035.1
acc131,GCA.002721815.1
acc132,GCA.900551585.1
acc133,GCA.001796335.1
acc134,GCF.000798955.1
acc135,GCF.003460745.1
acc136,GCA.003220315.1
acc137,GCA.900177045.1
acc138,GCA.002787095.1
acc139,GCF.000517565.1
acc140,GCA.003158455.1
acc141,GCF.900176435.1
acc142,GCA.003250975.1
acc143,GCA.001872605.1
acc144,GCA.004297265.1
acc145,GCA.002897915.1
acc146,GCA.002501105.1
acc147,GCF.000195295.1
acc148,GCF.000020785.1
acc149,GCF.005887615.1
acc150,GCA.003644445.1
acc151,GCF.001611675.1
acc152,GCA.002715965.1
acc153,GCA.002352645.1
acc154,GCA.002499005.1
acc155,GCA.000270325.1
acc156,GCF.000011205.1
acc157,GCF.001558495.2
acc158,GCA.001797335.1
acc159,GCF.000511875.1
acc160,GCF.000017945.1
acc161,GCA.004524565.1
acc162,GCA.001829155.1
acc163,GCA.003223145.1
acc164,GCA.001805205.1
acc165,GCA.004298675.1
acc166,GCF.000011705.1
acc167,GCA.001803315.1
acc168,GCF.000745455.1
acc169,GCA.003140855.1
acc170,GCF.000021965.1
acc171,GCA.004377275.1
acc172,GCA.007120035.1
acc173,GCA.002503285.1
acc174,GCF.000012465.1
acc175,GCF.002723915.1
acc176,GCA.002167825.1
acc177,GCA.002715765.1
acc178,GCA.001899315.1
acc179,GCA.001803165.1
acc180,GCA.007119395.1
acc181,GCA.002170535.1
acc182,GCF.000237805.1
acc183,GCF.000235565.1
acc184,GCA.003566475.1
acc185,GCF.000430505.1
acc186,GCA.005191415.1
acc187,GCF.001990485.1
acc188,GCA.002713325.1
acc189,GCF.000014265.1
acc190,GCF.000313915.1
acc191,GCF.900474085.1
acc192,GCA.000252485.1
acc193,GCA.002786715.1
acc194,GCA.002689995.1
acc195,GCA.002495905.1
acc196,GCA.003542955.1
acc197,GCF.001939115.1
acc198,GCA.002450985.1
acc199,GCF.000238815.1
acc200,GCA.002724735.1
acc201,GCF.000317635.1
acc202,GCA.003279655.1
acc203,GCA.002407935.1
acc204,GCF.000025665.1
acc205,GCA.002780005.1
acc206,GCA.003551435.1
acc207,GCF.000014045.1
acc208,GCF.000233775.1
acc209,GCA.002494645.1
acc210,GCF.000175575.2
acc211,GCA.003220475.1
acc212,GCA.002796125.1
acc213,GCA.001767835.1
acc214,GCA.001627235.1
acc215,GCF.001748245.1
acc216,GCA.003649445.1
acc217,GCA.001587575.1
acc218,GCA.001797495.1
acc219,GCF.002926165.1
acc220,GCA.002471705.1
acc221,GCF.006274605.1
acc222,GCA.004758605.1
acc223,GCA.001769805.1
acc224,GCA.003503675.1
acc225,GCA.005223145.1
acc226,GCF.000017685.1
acc227,GCA.002722645.1
acc228,GCF.003353065.1
acc229,GCA.003695705.1
acc230,GCF.001571405.1
acc231,GCA.005239925.1
acc232,GCA.002347855.1
acc233,GCF.001701045.1
acc234,GCF.000166095.1
acc235,GCA.004212735.1
acc236,GCA.002402325.1
acc237,GCF.900129645.1
acc238,GCA.003151475.1
acc239,GCA.002683655.1
acc240,GCF.000219725.1
acc241,GCF.004209775.1
acc242,GCA.002722135.1
acc243,GCA.002162095.1
acc244,GCF.003664005.1
acc245,GCA.002010665.1
acc246,GCF.000092425.1
acc247,GCA.003577165.1
acc248,GCF.000021725.1
acc249,GCA.001771585.1
acc250,GCA.001800075.1
acc251,GCF.000020985.1
acc252,GCA.005110385.1
acc253,GCF.000011185.1
acc254,GCF.000153825.1
acc255,GCF.000183745.1
acc256,GCA.002419025.1
acc257,GCA.000708525.1
acc258,GCA.003650445.1
acc259,GCA.002779605.1
acc260,GCA.002684655.1
acc261,GCA.002787535.1
acc262,GCA.001577055.1
acc263,GCA.002343185.1
acc264,GCF.001458735.1
acc265,GCA.003141835.1
acc266,GCF.001535965.1
acc267,GCF.000011385.1
acc268,GCA.003972855.1
acc269,GCF.000297215.2
acc270,GCA.002010305.1
acc271,GCA.001771535.1
acc272,GCA.002696685.1
acc273,GCF.000025505.1
acc274,GCA.002469845.1
acc275,GCA.002335945.1
acc276,GCA.002683785.1
acc277,GCA.002011745.1
acc278,GCA.002321895.1
acc279,GCA.004296885.1
acc280,GCF.000015665.1
acc281,GCA.001766815.1
acc282,GCA.001627865.1
acc283,GCF.000153805.1
acc284,GCA.003695015.1
acc285,GCA.000802205.2
acc286,GCF.000213255.1
acc287,GCF.002874775.1
acc288,GCA.005799545.1
