a	mrca_label_tsox	mrca_label_tsox_rdsr	mrca_label_tsox_soxCD
250	3747.14_3747.14	3045.96_3045.96	2329.41_2329.41
251	3781_3781	3133.96_3133.96	2390.46_2390.46
252	3842.22_3842.22	3147.21_3147.21	2410.39_2410.39
253	3774.34_3774.34	2937.79_2937.79	2157.46_2157.46
254	3756.15_3756.15	3026.59_3026.59	2200.72_2200.72
255	3805.08_3805.08	2978.46_2978.46	2419.07_2419.07
256	3845.8_3845.8	3132.53_3132.53	2462.76_2462.76
257	3957.8_3957.8	3099.41_3099.41	2538.81_2538.81
258	3781.38_3781.38	2967.06_2967.06	2216.85_2216.85
259	3893.11_3893.11	3024.35_3024.35	2379.58_2379.58
260	3811.17_3811.17	2942.36_2942.36	2361.36_2361.36
261	3710.62_3710.62	2958.35_2958.35	2391.48_2391.48
262	3853.07_3853.07	3194.04_3194.04	2341.69_2341.69
263	3909.07_3909.07	3271.78_3271.78	2613.51_2613.51
264	3836.59_3836.59	3009.45_3009.45	2428.72_2428.72
265	3879.26_3879.26	3115.57_3115.57	2498.83_2498.83
266	3921.03_3921.03	3232.25_3232.25	2461.03_2461.03
267	3916.55_3916.55	2915.03_2915.03	2161.78_2161.78
268	3848.85_3848.85	3052.07_3052.07	2257.49_2257.49
269	3813.24_3813.24	3036.68_3036.68	2294.87_2294.87
270	3750.82_3750.82	3036.52_3036.52	2326.4_2326.4
271	3761.2_3761.2	3041.38_3041.38	2283.23_2283.23
272	3818.63_3818.63	3063.52_3063.52	2383.73_2383.73
273	3886_3886	3120.97_3120.97	2400.82_2400.82
274	3844.98_3844.98	3087.17_3087.17	2319.16_2319.16
275	3843.48_3843.48	3098.2_3098.2	2351.75_2351.75
276	3903.18_3903.18	3007.22_3007.22	2236.56_2236.56
277	3935.18_3935.18	2987.62_2987.62	2328.98_2328.98
278	3777.75_3777.75	2971.9_2971.9	2262.32_2262.32
279	4020.06_4020.06	3206.02_3206.02	2457.13_2457.13
280	4008.75_4008.75	3193.61_3193.61	2539.72_2539.72
281	3958.46_3958.46	3156.23_3156.23	2575.13_2575.13
282	3957.69_3957.69	2995.51_2995.51	2282.78_2282.78
283	3901.61_3901.61	3240.07_3240.07	2428.68_2428.68
284	3910.5_3910.5	3104.16_3104.16	2415.63_2415.63
285	3955.3_3955.3	3156.59_3156.59	2080.35_2080.35
286	3986.06_3986.06	3216.19_3216.19	2737.3_2737.3
287	3901.92_3901.92	3188.06_3188.06	2551.32_2551.32
288	3845.24_3845.24	3064.92_3064.92	2482.83_2482.83
289	3931.08_3931.08	3057.53_3057.53	2375.78_2375.78
290	3980.86_3980.86	3101.87_3101.87	2518.82_2518.82
291	3943.03_3943.03	3095.86_3095.86	2547.28_2547.28
292	3917.7_3917.7	3057.71_3057.71	2217.97_2217.97
293	3858.58_3858.58	2924.81_2924.81	2409.54_2409.54
294	3948.3_3948.3	3097.82_3097.82	2445.4_2445.4
295	3919.32_3919.32	3051.8_3051.8	2353.5_2353.5
296	3980.38_3980.38	3203.28_3203.28	2346.27_2346.27
297	4030.62_4030.62	3094.29_3094.29	2473.43_2473.43
298	3906.14_3906.14	3083.17_3083.17	2451_2451
299	4058.97_4058.97	3153.36_3153.36	2345.1_2345.1
300	4005.32_4005.32	3169.71_3169.71	2489.79_2489.79
301	3947.49_3947.49	3007.54_3007.54	2443.9_2443.9
302	3812.2_3812.2	2936.31_2936.31	2260.68_2260.68
303	3989.33_3989.33	3117.1_3117.1	2517.91_2517.91
304	3893.57_3893.57	3061.32_3061.32	2482.28_2482.28
305	3924.06_3924.06	2999_2999	2441.81_2441.81
306	3818.38_3818.38	3134.03_3134.03	2393.96_2393.96
307	3890.05_3890.05	3099.95_3099.95	2478.42_2478.42
308	3957.17_3957.17	3150.95_3150.95	2510.95_2510.95
309	3979.22_3979.22	3071.58_3071.58	2455.76_2455.76
310	3945.39_3945.39	3246.29_3246.29	2469.09_2469.09
311	3964.14_3964.14	3145.4_3145.4	2407.47_2407.47
312	3962.02_3962.02	3133.86_3133.86	2355.1_2355.1
