accession	strategy
GB_GCA_000017645.1	soxCD
GB_GCA_000026125.1	soxCD
GB_GCA_000153745.1	soxCD
GB_GCA_000156115.1	soxCD
GB_GCA_000158155.1	soxCD
GB_GCA_000161775.1	soxCD
GB_GCA_000169115.1	soxCD
GB_GCA_000169395.1	soxCD
GB_GCA_000227525.2	soxCD
GB_GCA_000244995.1	rDsr
GB_GCA_000272025.2	soxCD
GB_GCA_000310245.1	others
GB_GCA_000342265.1	soxCD
GB_GCA_000381565.1	soxCD
GB_GCA_000471925.1	soxCD
GB_GCA_000472185.1	soxCD
GB_GCA_000482765.1	soxCD
GB_GCA_000496475.1	soxCD
GB_GCA_000504425.1	soxCD
GB_GCA_000521215.1	soxCD
GB_GCA_000743525.1	soxCD
GB_GCA_000745135.1	others
GB_GCA_000747095.1	others
GB_GCA_000751295.2	soxCD
GB_GCA_000785145.2	rDsr
GB_GCA_000828835.1	rDsr
GB_GCA_000830255.1	others
GB_GCA_000955785.1	soxCD
GB_GCA_000955795.1	others
GB_GCA_000961635.1	soxCD
GB_GCA_000961745.1	rDsr
GB_GCA_000981705.1	soxCD
GB_GCA_001263235.1	soxCD
GB_GCA_001295775.1	soxCD
GB_GCA_001295865.1	soxCD
GB_GCA_001295905.1	soxCD
GB_GCA_001303245.1	others
GB_GCA_001304215.1	rDsr
GB_GCA_001310715.1	soxCD
GB_GCA_001314655.1	soxCD
GB_GCA_001314685.1	soxCD
GB_GCA_001314705.1	soxCD
GB_GCA_001404055.1	soxCD
GB_GCA_001419985.1	soxCD
GB_GCA_001423405.1	soxCD
GB_GCA_001443385.1	others
GB_GCA_001464035.1	soxCD
GB_GCA_001464235.1	others
GB_GCA_001464755.1	soxCD
GB_GCA_001464765.1	others
GB_GCA_001464815.1	soxCD
GB_GCA_001464835.1	soxCD
GB_GCA_001464895.1	others
GB_GCA_001464955.1	soxCD
GB_GCA_001516065.1	soxCD
GB_GCA_001556025.1	soxCD
GB_GCA_001556125.1	soxCD
GB_GCA_001601825.1	soxCD
GB_GCA_001602455.1	soxCD
GB_GCA_001602925.1	rDsr
GB_GCA_001626765.1	soxCD
GB_GCA_001627925.1	both
GB_GCA_001629395.1	rDsr
GB_GCA_001642945.1	soxCD
GB_GCA_001650895.1	soxCD
GB_GCA_001655195.1	soxCD
GB_GCA_001657395.1	soxCD
GB_GCA_001724135.1	soxCD
GB_GCA_001724315.1	soxCD
GB_GCA_001724855.1	rDsr
GB_GCA_001724995.1	both
GB_GCA_001725255.1	soxCD
GB_GCA_001725505.1	both
GB_GCA_001725945.1	soxCD
GB_GCA_001730015.1	both
GB_GCA_001770235.1	rDsr
GB_GCA_001770355.1	others
GB_GCA_001770655.1	others
GB_GCA_001770815.1	both
GB_GCA_001771065.1	soxCD
GB_GCA_001771935.1	others
GB_GCA_001771985.1	rDsr
GB_GCA_001772005.1	rDsr
GB_GCA_001785115.1	others
GB_GCA_001785195.1	rDsr
GB_GCA_001788395.1	others
GB_GCA_001788415.1	others
GB_GCA_001802655.1	rDsr
GB_GCA_001803815.1	rDsr
GB_GCA_001828935.1	rDsr
GB_GCA_001830325.1	soxCD
GB_GCA_001872285.1	rDsr
GB_GCA_001874255.1	soxCD
GB_GCA_001890945.1	soxCD
GB_GCA_001897615.1	soxCD
GB_GCA_001897675.1	rDsr
GB_GCA_001897755.1	soxCD
GB_GCA_001898115.1	soxCD
GB_GCA_001898645.1	soxCD
GB_GCA_001898825.1	rDsr
GB_GCA_001898965.1	soxCD
GB_GCA_001899255.1	soxCD
GB_GCA_001899285.1	soxCD
GB_GCA_001899305.1	rDsr
GB_GCA_001899585.1	soxCD
GB_GCA_001899765.1	rDsr
GB_GCA_001899775.1	rDsr
GB_GCA_001914535.1	others
GB_GCA_001917535.1	others
GB_GCA_001917585.1	others
GB_GCA_001953215.1	soxCD
GB_GCA_002002705.1	others
GB_GCA_002049495.1	soxCD
GB_GCA_002083525.1	soxCD
GB_GCA_002083775.1	soxCD
GB_GCA_002101205.1	soxCD
GB_GCA_002101225.1	soxCD
GB_GCA_002101235.1	soxCD
GB_GCA_002162795.1	soxCD
GB_GCA_002162815.1	soxCD
GB_GCA_002162875.1	rDsr
GB_GCA_002166865.1	soxCD
GB_GCA_002171735.1	rDsr
GB_GCA_002238645.1	soxCD
GB_GCA_002238725.1	others
GB_GCA_002255365.1	rDsr
GB_GCA_002255575.1	soxCD
GB_GCA_002255935.1	soxCD
GB_GCA_002256145.1	soxCD
GB_GCA_002256205.1	soxCD
GB_GCA_002256345.1	soxCD
GB_GCA_002256785.1	rDsr
GB_GCA_002256995.1	rDsr
GB_GCA_002257045.1	rDsr
GB_GCA_002278925.1	soxCD
GB_GCA_002279355.1	soxCD
GB_GCA_002279705.1	soxCD
GB_GCA_002279795.1	rDsr
GB_GCA_002280515.1	soxCD
GB_GCA_002281005.1	soxCD
GB_GCA_002281755.1	others
GB_GCA_002281775.1	rDsr
GB_GCA_002282015.1	others
GB_GCA_002282445.1	soxCD
GB_GCA_002292285.1	soxCD
GB_GCA_002292375.1	soxCD
GB_GCA_002292975.1	soxCD
GB_GCA_002293155.1	soxCD
GB_GCA_002298965.1	soxCD
GB_GCA_002298975.1	others
GB_GCA_002304505.1	soxCD
GB_GCA_002307905.1	soxCD
GB_GCA_002311915.1	others
GB_GCA_002325375.1	soxCD
GB_GCA_002327725.1	others
GB_GCA_002331385.1	soxCD
GB_GCA_002339725.1	rDsr
GB_GCA_002340515.1	soxCD
GB_GCA_002342295.1	soxCD
GB_GCA_002342365.1	soxCD
GB_GCA_002343685.1	rDsr
GB_GCA_002344885.1	soxCD
GB_GCA_002345845.1	soxCD
GB_GCA_002346525.1	others
GB_GCA_002347285.1	rDsr
GB_GCA_002347405.1	rDsr
GB_GCA_002347615.1	rDsr
GB_GCA_002352425.1	rDsr
GB_GCA_002352635.1	both
GB_GCA_002359635.1	soxCD
GB_GCA_002360535.1	rDsr
GB_GCA_002366645.1	soxCD
GB_GCA_002366775.1	soxCD
GB_GCA_002366795.1	soxCD
GB_GCA_002367255.1	both
GB_GCA_002367285.1	both
GB_GCA_002377985.1	soxCD
GB_GCA_002378665.1	soxCD
GB_GCA_002381045.1	both
GB_GCA_002389265.1	soxCD
GB_GCA_002390205.1	soxCD
GB_GCA_002400675.1	both
GB_GCA_002400845.2	soxCD
GB_GCA_002401655.1	soxCD
GB_GCA_002401775.2	rDsr
GB_GCA_002401945.1	soxCD
GB_GCA_002402045.2	rDsr
GB_GCA_002403375.1	rDsr
GB_GCA_002403995.1	rDsr
GB_GCA_002414205.1	rDsr
GB_GCA_002422085.1	soxCD
GB_GCA_002424845.1	rDsr
GB_GCA_002425245.1	soxCD
GB_GCA_002428015.1	soxCD
GB_GCA_002428055.1	others
GB_GCA_002428085.1	others
GB_GCA_002428885.1	soxCD
GB_GCA_002430125.1	rDsr
GB_GCA_002435145.1	soxCD
GB_GCA_002435715.1	rDsr
GB_GCA_002440665.1	soxCD
GB_GCA_002448875.1	others
GB_GCA_002450895.1	others
GB_GCA_002450905.1	rDsr
GB_GCA_002450925.1	rDsr
GB_GCA_002450975.1	others
GB_GCA_002451085.1	others
GB_GCA_002452425.1	others
GB_GCA_002452815.1	soxCD
GB_GCA_002454975.1	soxCD
GB_GCA_002456995.1	rDsr
GB_GCA_002457055.1	soxCD
GB_GCA_002469545.1	others
GB_GCA_002469865.1	others
GB_GCA_002470165.1	soxCD
GB_GCA_002470185.1	soxCD
GB_GCA_002470565.1	soxCD
GB_GCA_002477475.1	rDsr
GB_GCA_002478745.1	soxCD
GB_GCA_002631715.1	rDsr
GB_GCA_002632355.1	rDsr
GB_GCA_002633015.1	others
GB_GCA_002633085.1	soxCD
GB_GCA_002683335.1	soxCD
GB_GCA_002683405.1	soxCD
GB_GCA_002683655.1	soxCD
GB_GCA_002683685.1	others
GB_GCA_002684375.1	soxCD
GB_GCA_002687515.1	rDsr
GB_GCA_002690705.1	others
GB_GCA_002694065.1	rDsr
GB_GCA_002695005.1	soxCD
GB_GCA_002696205.1	soxCD
GB_GCA_002698425.1	soxCD
GB_GCA_002699185.1	rDsr
GB_GCA_002699695.2	soxCD
GB_GCA_002703405.1	soxCD
GB_GCA_002705795.1	soxCD
GB_GCA_002706335.1	soxCD
GB_GCA_002706405.1	soxCD
GB_GCA_002706605.1	soxCD
GB_GCA_002707605.1	soxCD
