accession	Oxygen	pH	Salinity	Temperature
GB_GCA_000158155.1	aerobe	7.711743952	3.5979537	27.94968082
GB_GCA_000272025.2	aerobe	6.832571848	1.069775439	31.75843245
GB_GCA_000310245.1	anaerobe	6.475158446	1.392652802	25.16702055
GB_GCA_000381565.1	aerobe	6.757825047	0	24.02333137
GB_GCA_000472185.1	aerobe	7.648279633	2.334227266	26.95797016
GB_GCA_000482765.1	aerobe	8.385744722	0	54.81925301
GB_GCA_000496475.1	aerobe	6.958564708	0	19.23029294
GB_GCA_000504425.1	aerobe	7.15142397	1.059465864	34.12831041
GB_GCA_000521215.1	aerobe	8.056053042	3.277111037	25.43839966
GB_GCA_000743525.1	aerobe	6.420944612	0.979001096	29.02201165
GB_GCA_000747095.1	anaerobe	6.425493555	1.893450928	29.01725486
GB_GCA_000785145.2	facultative	7.312405516	1.371167687	36.33998174
GB_GCA_000828835.1	facultative	7.603023966	1.145800384	36.31217982
GB_GCA_000830255.1	anaerobe	6.515649127	1.838748619	22.6386309
GB_GCA_000955785.1	aerobe	6.532880639	0	31.16464965
GB_GCA_000955795.1	aerobe	6.339762558	0.707751898	30.32424418
GB_GCA_000961635.1	aerobe	7.653097236	1.662543508	27.26356509
GB_GCA_000961745.1	aerobe	7.235794766	4.207077751	26.83682685
GB_GCA_000981705.1	aerobe	7.679852713	0.734272992	22.36708233
GB_GCA_001263235.1	aerobe	7.788075557	0	23.41681789
GB_GCA_001295775.1	aerobe	7.830580986	0.252760769	29.16971541
GB_GCA_001295865.1	aerobe	8.134860461	0	27.30893147
GB_GCA_001295905.1	aerobe	8.336201832	0	28.89392117
GB_GCA_001303245.1	aerobe	7.483763658	1.601452795	40.5169293
GB_GCA_001304215.1	aerobe	6.761259258	2.51496423	39.81696952
GB_GCA_001404055.1	aerobe	7.701161797	2.69493105	25.04375595
GB_GCA_001419985.1	aerobe	8.015873174	2.376787938	25.64837839
GB_GCA_001423405.1	aerobe	7.275885552	1.008055682	27.70747158
GB_GCA_001443385.1	anaerobe	7.054657982	0.725411385	51.79752321
GB_GCA_001464035.1	aerobe	7.079876541	0.926722894	32.13624481
GB_GCA_001464235.1	aerobe	7.870510004	1.038808965	32.1436401
GB_GCA_001464755.1	aerobe	7.376035463	2.114843862	34.50460642
GB_GCA_001464765.1	aerobe	6.832614091	0.128490599	28.68468343
GB_GCA_001464815.1	aerobe	6.661443628	0.356088571	35.37780877
GB_GCA_001464835.1	aerobe	6.645742078	0.391627109	32.73062823
GB_GCA_001464895.1	aerobe	6.88253937	0.455666366	29.72504267
GB_GCA_001464955.1	aerobe	7.648702603	1.540515988	33.52820279
GB_GCA_001516065.1	aerobe	7.238280504	2.797606538	29.90955812
GB_GCA_001556025.1	facultative	7.750401077	0.993652152	27.20576434
GB_GCA_001556125.1	facultative	7.432644376	0.687822226	30.29130139
GB_GCA_001601825.1	aerobe	7.66188	0.177631085	22.88134529
GB_GCA_001602455.1	aerobe	7.377686078	0	22.27203454
GB_GCA_001602925.1	anaerobe	6.708628053	1.148991928	32.16450115
GB_GCA_001626765.1	aerobe	7.244589386	2.919761015	28.78273557
GB_GCA_001627925.1	aerobe	7.910783828	1.25159428	25.64391838
GB_GCA_001629395.1	aerobe	7.638819317	3.793372532	34.41718621
GB_GCA_001642945.1	aerobe	7.794413981	1.128785133	22.25934302
GB_GCA_001650895.1	aerobe	7.855251333	1.988427096	25.23880742
GB_GCA_001655195.1	anaerobe	6.8264831	3.926152368	29.91368819
GB_GCA_001657395.1	aerobe	7.821242744	3.881496206	30.03412629
GB_GCA_001724135.1	aerobe	6.873014063	0.953494839	28.50081178
GB_GCA_001724315.1	aerobe	7.387612973	1.086854129	41.73591503
GB_GCA_001724855.1	aerobe	7.070448247	1.429763598	41.61717598
GB_GCA_001724995.1	aerobe	7.519500762	0.854533757	35.65453576
GB_GCA_001725255.1	aerobe	7.068744456	0.834614704	28.7952166
GB_GCA_001725505.1	aerobe	6.451429258	0	32.45197958
GB_GCA_001725945.1	aerobe	6.604295155	0.056981364	32.70975476
GB_GCA_001730015.1	aerobe	8.321998022	4.929594128	21.98254707
GB_GCA_001770235.1	aerobe	6.582352658	0.514207689	32.20578795
GB_GCA_001770355.1	aerobe	6.704107298	0	41.76886912
GB_GCA_001770655.1	aerobe	7.150537259	0.513442573	43.08879118
GB_GCA_001770815.1	facultative	7.398996096	0	21.92962086
GB_GCA_001771065.1	anaerobe	7.003575072	0	21.10325912
