accession	spe_PC1	spe_PC2	spe_PC3
GB_GCA_913053665.1	0.211681367936491	-0.965957839910907	-0.038929148009891
GB_GCA_008932935.1	0.278327624438685	-1.07466955846526	0.00434947395463327
RS_GCF_003182595.1	0.231537867194696	-1.02267894724835	-0.0281393280303133
GB_GCA_015482705.2	0.233139648065461	-1.0254918951894	-0.0271218316839499
GB_GCA_013334975.1	0.233121403028622	-1.02622644338233	-0.0271991475247166
GB_GCA_001602925.1	0.233259311038086	-1.02650863695043	-0.0271151100873
RS_GCF_001747405.1	0.234792546736853	-1.02923130618724	-0.0261437765795365
RS_GCF_006265165.1	0.235817960832606	-1.03105239913634	-0.025494173560797
RS_GCF_004118635.1	0.236055383604136	-1.03147377880682	-0.0253437412368758
GB_GCA_016931495.1	0.233486233983493	-1.02690488428212	-0.0269707303821649
GB_GCA_011372505.1	0.238410667817542	-1.03564118638973	-0.0238502364507004
GB_GCA_013334925.1	0.236492887156678	-1.03214506885329	-0.0250570358755514
GB_GCA_020721255.1	0.252677234800412	-1.06074124049507	-0.0147819178065523
GB_GCA_903874585.1	0.251828320925309	-1.05923826653721	-0.0153202990499285
GB_GCA_903869365.1	0.242896405859228	-1.04338627651104	-0.0209824027372862
GB_GCA_020721225.1	0.23461215748554	-1.02859470258435	-0.0262276578332973
GB_GCA_003250175.1	0.247112172812933	-1.82409566121045	-0.249440909502663
GB_GCA_018662405.1	0.265031974074309	-1.97610480065538	-0.273407554812661
GB_GCA_016784825.1	0.26543737437636	-1.97830018553442	-0.273592867942943
GB_GCA_003643835.1	0.297508510608172	-2.15211411777536	-0.288289593657336
GB_GCA_021107755.1	0.2685321870839	-1.99510219150148	-0.275019785188069
GB_GCA_015663165.1	0.273706860269169	-2.02322897885551	-0.277414822154525
GB_GCA_020719775.1	0.277733014026897	-2.04513337506566	-0.279284048447397
GB_GCA_020048055.1	0.280307402295463	-2.05909061609291	-0.280465368876225
GB_GCA_913062735.1	0.277874699699869	-2.0526332073025	-0.281285507721556
GB_GCA_013215945.1	0.274566651491119	-2.03440824582523	-0.279683932468176
GB_GCA_002733685.1	0.274808202507684	-2.03573899190669	-0.279800871058212
GB_GCA_001655195.1	0.259755896403182	-1.95268058426832	-0.272475774932284
RS_GCF_013201625.1	0.288613531945073	-2.11780020207555	-0.28820022928123
RS_GCF_003316695.1	0.288973898739976	-2.11982285582271	-0.288385355563554
RS_GCF_016106035.1	0.29364477669287	-2.14617516969132	-0.290823306268055
RS_GCF_013201705.1	0.293468228714106	-2.14518580610969	-0.290733053540333
RS_GCF_013372265.1	0.294866038285	-2.15304046785668	-0.291453702872269
RS_GCF_003355515.1	0.295323603001495	-2.15564886131143	-0.2917001321239
RS_GCF_014352935.1	0.293894372121451	-2.1476204257343	-0.29096407615349
RS_GCF_003660105.1	0.295194732417075	-2.15493172684752	-0.291635683713198
RS_GCF_002993025.1	0.296307164166638	-2.16118570647509	-0.292210034825268
